Cluster	                	H-corr:	G-corr:	Enthalpi:	Free-Energy:	Entropy: DLPNO-CCSD(T):
dimer_m062x_h_acetic		0.13751	0.08918	-457.89463	-457.94296	101.716	-457.56373
dimer_m062x_h_adipic		0.35521	0.28333	-1070.50416	-1070.57604	151.270	-1069.69627
dimer_m062x_h_butanoic		0.25763	0.19586	-614.95779	-615.01957	130.014	-614.53323
dimer_m062x_h_formic		0.07899	0.04014	-379.33594	-379.37479	81.767	-379.05621
dimer_m062x_h_glutaric		0.29457	0.22919	-991.98078	-992.04616	137.612	-991.21862
dimer_m062x_h_hexanoic		0.37763	0.30200	-772.01907	-772.09470	159.168	-771.50130
dimer_m062x_h_malonic		0.17484	0.11310	-834.87705	-834.93879	129.948	-834.21267
dimer_m062x_h_oxalic		0.11483	0.05997	-756.31044	-756.36530	115.460	-755.69315
dimer_m062x_h_pentanoic		0.31755	0.24839	-693.48846	-693.55762	145.544	-693.01774
dimer_m062x_h_pimelic		0.41468	0.33301	-1149.04315	-1149.12482	171.893	-1148.19102
dimer_m062x_h_propanoic		0.19765	0.14385	-536.42688	-536.48069	113.243	-536.04890
dimer_m062x_h_suberic		0.47479	0.38723	-1227.57208	-1227.65964	184.292	-1226.67317
dimer_m062x_h_succinic		0.23537	0.17341	-913.43415	-913.49612	130.407	-912.72126
dimer_m062x_qh_acetic		0.13751	0.08918	-457.89463	-457.94296	101.716	-457.56373
dimer_m062x_qh_adipic		0.35521	0.28333	-1070.50416	-1070.57604	151.270	-1069.69627
dimer_m062x_qh_butanoic		0.25763	0.19586	-614.95779	-615.01957	130.014	-614.53324
dimer_m062x_qh_formic		0.07899	0.04014	-379.33594	-379.37479	81.767	-379.05621
dimer_m062x_qh_glutaric		0.29457	0.22919	-991.98078	-992.04616	137.612	-991.21869
dimer_m062x_qh_hexanoic		0.37803	0.30328	-772.01948	-772.09422	157.305	-771.50194
dimer_m062x_qh_malonic		0.17484	0.11310	-834.87705	-834.93879	129.948	-834.21267
dimer_m062x_qh_oxalic		0.11483	0.05997	-756.31044	-756.36530	115.460	-755.69315
dimer_m062x_qh_pentanoic	0.31755	0.24839	-693.48846	-693.55762	145.544	-693.01776
dimer_m062x_qh_pimelic		0.41468	0.33301	-1149.04315	-1149.12482	171.893	-1148.19095
dimer_m062x_qh_propanoic	0.19765	0.14385	-536.42688	-536.48069	113.243	-536.04890
dimer_m062x_qh_suberic		0.47505	0.39130	-1227.57454	-1227.65828	176.255	-1226.67408
dimer_m062x_qh_succinic		0.23537	0.17341	-913.43415	-913.49612	130.407	-912.72126
dimer_pw91_h_acetic		0.13257	0.08364	-457.95347	-458.00240	102.980	-457.56134
dimer_pw91_h_adipic		0.34273	0.26883	-1070.61596	-1070.68987	155.541	-1069.69524
dimer_pw91_h_butanoic		0.24916	0.18562	-615.02479	-615.08833	133.734	-614.53005
dimer_pw91_h_formic		0.07529	0.03685	-379.39089	-379.42933	80.906	-379.05413
dimer_pw91_h_glutaric		0.28380	0.21739	-992.08274	-992.14915	139.768	-991.21371
dimer_pw91_h_hexanoic		0.36590	0.28994	-772.09544	-772.17140	159.871	-771.49972
dimer_pw91_h_malonic		0.16726	0.10527	-834.97923	-835.04122	130.472	-834.20855
dimer_pw91_h_oxalic		0.10917	0.05564	-756.41240	-756.46593	112.675	-755.69234
dimer_pw91_h_pentanoic		0.30757	0.23974	-693.56029	-693.62812	142.760	-693.01427
dimer_pw91_h_pimelic		0.40062	0.31753	-1149.16004	-1149.24313	174.885	-1148.18564
dimer_pw91_h_propanoic		0.19107	0.13656	-536.48930	-536.54381	114.718	-536.04629
dimer_pw91_h_suberic		0.45920	0.36897	-1227.69108	-1227.78132	189.917	-1226.66558
dimer_pw91_h_succinic		0.22580	0.16436	-913.53193	-913.59337	129.314	-912.71686
dimer_pw91_qh_acetic		0.13257	0.08364	-457.95347	-458.00240	102.980	-457.56134
dimer_pw91_qh_adipic		0.34273	0.26883	-1070.61596	-1070.68987	155.541	-1069.69520
dimer_pw91_qh_butanoic		0.24916	0.18562	-615.02479	-615.08833	133.734	-614.53005
dimer_pw91_qh_formic		0.07529	0.03685	-379.39089	-379.42933	80.906	-379.05413
dimer_pw91_qh_glutaric		0.28380	0.21739	-992.08274	-992.14915	139.768	-991.21386
dimer_pw91_qh_hexanoic		0.36580	0.29077	-772.09596	-772.17099	157.917	-771.49859
dimer_pw91_qh_malonic		0.16726	0.10527	-834.97923	-835.04122	130.472	-834.20854
dimer_pw91_qh_oxalic		0.10917	0.05564	-756.41240	-756.46593	112.675	-755.69234
dimer_pw91_qh_pentanoic		0.30757	0.23974	-693.56029	-693.62812	142.760	-693.01426
dimer_pw91_qh_pimelic		0.40062	0.31753	-1149.16004	-1149.24313	174.885	-1148.18555
dimer_pw91_qh_propanoic		0.19107	0.13656	-536.48930	-536.54381	114.718	-536.04629
dimer_pw91_qh_suberic		0.45920	0.36897	-1227.69108	-1227.78132	189.917	-1226.66552
dimer_pw91_qh_succinic		0.22580	0.16436	-913.53193	-913.59337	129.314	-912.71686
dimer_wb97xd_h_acetic		0.13826	0.09028	-457.95261	-458.00059	100.977	-457.56402
dimer_wb97xd_h_adipic		0.35736	0.28601	-1070.63887	-1070.71023	150.173	-1069.69678
dimer_wb97xd_h_butanoic		0.25882	0.19670	-615.05662	-615.11874	130.751	-614.53393
dimer_wb97xd_h_formic		0.07928	0.04050	-379.37437	-379.41315	81.618	-379.05632
dimer_wb97xd_h_glutaric		0.29648	0.23084	-992.09326	-992.15891	138.166	-991.21949
dimer_wb97xd_h_hexanoic		0.37936	0.30569	-772.16006	-772.23373	155.057	-771.50147
dimer_wb97xd_h_malonic		0.17526	0.11321	-834.95104	-835.01308	130.593	-834.21290
dimer_wb97xd_h_oxalic		0.11522	0.05741	-756.36361	-756.42141	121.658	-755.69339
dimer_wb97xd_h_pentanoic	0.31886	0.25084	-693.60914	-693.67715	143.141	-693.01880
dimer_wb97xd_h_pimelic		0.41739	0.33546	-1149.20070	-1149.28263	172.433	-1148.19181
dimer_wb97xd_h_propanoic	0.19888	0.14594	-536.50459	-536.55753	111.424	-536.04903
dimer_wb97xd_h_suberic		0.47734	0.39005	-1227.75111	-1227.83840	183.721	-1226.67348
dimer_wb97xd_h_succinic		0.23598	0.17460	-913.52639	-913.58777	129.183	-912.72137
dimer_wb97xd_qh_acetic		0.13826	0.09028	-457.95261	-458.00059	100.977	-457.56401
dimer_wb97xd_qh_adipic		0.35736	0.28601	-1070.63887	-1070.71023	150.173	-1069.69678
dimer_wb97xd_qh_butanoic	0.25882	0.19670	-615.05662	-615.11874	130.751	-614.53393
dimer_wb97xd_qh_formic		0.07928	0.04050	-379.37437	-379.41315	81.618	-379.05632
dimer_wb97xd_qh_glutaric	0.29648	0.23084	-992.09326	-992.15891	138.166	-991.21955
dimer_wb97xd_qh_hexanoic	0.37966	0.30715	-772.16091	-772.23342	152.613	-771.50330
dimer_wb97xd_qh_malonic		0.17526	0.11321	-834.95104	-835.01308	130.593	-834.21290
dimer_wb97xd_qh_oxalic		0.11522	0.05741	-756.36361	-756.42141	121.658	-755.69339
dimer_wb97xd_qh_pentanoic	0.31886	0.25084	-693.60914	-693.67715	143.141	-693.01879
dimer_wb97xd_qh_pimelic		0.41739	0.33546	-1149.20070	-1149.28263	172.433	-1148.19184
dimer_wb97xd_qh_propanoic	0.19888	0.14594	-536.50459	-536.55753	111.424	-536.04903
dimer_wb97xd_qh_suberic		0.47734	0.39005	-1227.75111	-1227.83840	183.721	-1226.67347
dimer_wb97xd_qh_succinic	0.23598	0.17460	-913.52639	-913.58777	129.183	-912.72137
monomer_m062x_h_acetic		0.06810	0.03582	-228.93383	-228.96612	67.953	-228.76874
monomer_m062x_h_adipic		0.17660	0.12685	-535.23139	-535.28113	104.703	-534.82867
monomer_m062x_h_butanoic	0.12798	0.08898	-307.46582	-307.50483	82.102	-307.25374
monomer_m062x_h_formic		0.03855	0.01038	-189.65525	-189.68341	59.285	-189.51544
monomer_m062x_h_glutaric	0.14677	0.10097	-495.96607	-496.01187	96.401	-495.58646
monomer_m062x_h_hexanoic	0.18789	0.14090	-385.99682	-386.04381	98.892	-385.73799
monomer_m062x_h_malonic		0.08648	0.04555	-417.42500	-417.46593	86.149	-417.09268
monomer_m062x_h_oxalic		0.05663	0.02155	-378.14750	-378.18258	73.836	-377.84075
monomer_m062x_h_pentanoic	0.15814	0.11477	-346.73040	-346.77377	91.276	-346.49527
monomer_m062x_h_pimelic		0.20640	0.15223	-574.49626	-574.55043	114.007	-574.07016
monomer_m062x_h_propanoic	0.09812	0.06247	-268.20012	-268.23577	75.033	-268.01142
monomer_m062x_h_suberic	        0.23661	0.17934	-613.76134	-613.81860	120.534	-613.31255
monomer_m062x_h_succinic	0.11653	0.07262	-456.69858	-456.74249	92.408	-456.34205
monomer_m062x_qh_acetic	        0.06810	0.03582	-228.93383	-228.96612	67.953	-228.76874
monomer_m062x_qh_adipic	        0.17660	0.12685	-535.23139	-535.28113	104.703	-534.82867
monomer_m062x_qh_butanoic	0.12798	0.08898	-307.46582	-307.50483	82.102	-307.25374
monomer_m062x_qh_formic	        0.03855	0.01038	-189.65525	-189.68341	59.285	-189.51544
monomer_m062x_qh_glutaric	0.14677	0.10097	-495.96607	-496.01187	96.401	-495.58646
monomer_m062x_qh_hexanoic	0.18789	0.14090	-385.99682	-386.04381	98.892	-385.73799
monomer_m062x_qh_malonic	0.08648	0.04555	-417.42500	-417.46593	86.149	-417.09268
monomer_m062x_qh_oxalic	        0.05663	0.02155	-378.14750	-378.18258	73.836	-377.84076
monomer_m062x_qh_pentanoic	0.15820	0.11557	-346.73096	-346.77359	89.720	-346.49571
monomer_m062x_qh_pimelic	0.20640	0.15223	-574.49626	-574.55043	114.007	-574.07016
monomer_m062x_qh_propanoic	0.09812	0.06247	-268.20012	-268.23577	75.033	-268.01142
monomer_m062x_qh_suberic	0.23788	0.18751	-613.76799	-613.81836	106.018	-613.31756
monomer_m062x_qh_succinic	0.11664	0.07387	-456.69967	-456.74244	90.013	-456.34352
monomer_pw91_h_acetic	        0.06567	0.03219	-228.96223	-228.99572	70.481	-228.76812
monomer_pw91_h_adipic	        0.17057	0.11870	-535.28518	-535.33704	109.155	-534.82569
monomer_pw91_h_butanoic	        0.12407	0.08466	-307.49769	-307.53711	82.955	-307.25281
monomer_pw91_h_formic	        0.03691	0.00865	-189.68161	-189.70987	59.478	-189.51497
monomer_pw91_h_glutaric	        0.14135	0.09200	-496.01619	-496.06554	103.862	-495.58244
monomer_pw91_h_hexanoic	        0.18218	0.13483	-386.03381	-386.08115	99.653	-385.73683
monomer_pw91_h_malonic	        0.08320	0.04190	-417.47392	-417.51521	86.913	-417.09156
monomer_pw91_h_oxalic	        0.05407	0.01870	-378.19751	-378.23289	74.443	-377.83982
monomer_pw91_h_pentanoic	0.15312	0.10972	-346.76591	-346.80931	91.345	-346.49469
monomer_pw91_h_pimelic	        0.19955	0.14362	-574.55299	-574.60892	117.717	-574.06850
monomer_pw91_h_propanoic	0.09487	0.05859	-268.23035	-268.26664	76.370	-268.01065
monomer_pw91_h_suberic	        0.22903	0.16825	-613.81951	-613.88029	127.925	-613.30925
monomer_pw91_h_succinic	        0.11225	0.06822	-456.74919	-456.79321	92.656	-456.34219
monomer_pw91_qh_acetic	        0.06567	0.03219	-228.96223	-228.99572	70.481	-228.76812
monomer_pw91_qh_adipic	        0.17057	0.11870	-535.28518	-535.33704	109.155	-534.82569
monomer_pw91_qh_butanoic	0.12407	0.08466	-307.49769	-307.53711	82.955	-307.25281
monomer_pw91_qh_formic	        0.03691	0.00865	-189.68161	-189.70987	59.478	-189.51497
monomer_pw91_qh_glutaric	0.14135	0.09200	-496.01619	-496.06554	103.862	-495.58244
monomer_pw91_qh_hexanoic	0.18218	0.13483	-386.03381	-386.08115	99.653	-385.73683
monomer_pw91_qh_malonic	        0.08320	0.04190	-417.47392	-417.51521	86.913	-417.09156
monomer_pw91_qh_oxalic	        0.05407	0.01870	-378.19751	-378.23289	74.443	-377.83982
monomer_pw91_qh_pentanoic	0.15312	0.10972	-346.76591	-346.80931	91.345	-346.49469
monomer_pw91_qh_pimelic	        0.19955	0.14362	-574.55299	-574.60892	117.717	-574.06850
monomer_pw91_qh_propanoic	0.09487	0.05859	-268.23035	-268.26664	76.370	-268.01065
monomer_pw91_qh_suberic	        0.22886	0.16979	-613.82070	-613.87977	124.318	-613.31066
monomer_pw91_qh_succinic	0.11224	0.06822	-456.74919	-456.79321	92.646	-456.34219
monomer_wb97xd_h_acetic	        0.06804	0.03535	-228.96287	-228.99556	68.805	-228.76876
monomer_wb97xd_h_adipic	        0.17704	0.12628	-535.29873	-535.34948	106.817	-534.82869
monomer_wb97xd_h_butanoic	0.12822	0.08886	-307.51491	-307.55428	82.846	-307.25373
monomer_wb97xd_h_formic	        0.03846	0.01029	-189.67434	-189.70252	59.305	-189.51547
monomer_wb97xd_h_glutaric	0.14682	0.09668	-496.01964	-496.06978	105.533	-495.58304
monomer_wb97xd_h_hexanoic	0.18847	0.14032	-386.06632	-386.11447	101.340	-385.73723
monomer_wb97xd_h_malonic	0.08657	0.04580	-417.46167	-417.50244	85.808	-417.09270
monomer_wb97xd_h_oxalic	        0.05682	0.02176	-378.17419	-378.20924	73.779	-377.84089
monomer_wb97xd_h_pentanoic	0.15829	0.11449	-346.79031	-346.83410	92.180	-346.49493
monomer_wb97xd_h_pimelic	0.20683	0.15208	-574.57449	-574.62924	115.241	-574.07012
monomer_wb97xd_h_propanoic	0.09813	0.06158	-268.23912	-268.27567	76.934	-268.01142
monomer_wb97xd_h_suberic	0.23736	0.17610	-613.84810	-613.90936	128.922	-613.31031
monomer_wb97xd_h_succinic	0.11664	0.07325	-456.74605	-456.78943	91.311	-456.34348
monomer_wb97xd_qh_acetic	0.06804	0.03535	-228.96287	-228.99556	68.805	-228.76876
monomer_wb97xd_qh_adipic	0.17704	0.12628	-535.29873	-535.34948	106.817	-534.82868
monomer_wb97xd_qh_butanoic	0.12822	0.08886	-307.51491	-307.55428	82.846	-307.25373
monomer_wb97xd_qh_formic	0.03846	0.01029	-189.67434	-189.70252	59.305	-189.51547
monomer_wb97xd_qh_glutaric	0.14666	0.09908	-496.02213	-496.06971	100.143	-495.58525
monomer_wb97xd_qh_hexanoic	0.18830	0.14103	-386.06718	-386.11445	99.487	-385.73800
monomer_wb97xd_qh_malonic	0.08657	0.04580	-417.46167	-417.50244	85.808	-417.09270
monomer_wb97xd_qh_oxalic	0.05682	0.02176	-378.17419	-378.20924	73.779	-377.84089
monomer_wb97xd_qh_pentanoic	0.15837	0.11586	-346.79107	-346.83357	89.455	-346.49616
monomer_wb97xd_qh_pimelic	0.20683	0.15208	-574.57449	-574.62924	115.241	-574.07012
monomer_wb97xd_qh_propanoic	0.09813	0.06158	-268.23912	-268.27567	76.934	-268.01142
monomer_wb97xd_qh_suberic	0.23800	0.18587	-613.85515	-613.90728	109.709	-613.31774
monomer_wb97xd_qh_succinic	0.11664	0.07325	-456.74605	-456.78943	91.311	-456.34348
