Cluster				E(wB97X-D)		H-corr:		G-corr:		Enthalpi:		Free-Energy:		Entropy:	DLPNO-CCSD(T):
dimer_m062x_h_acetic		-458.03214		0.13751		0.08918		-457.89463		-457.94296		101.716		-457.56373
dimer_m062x_h_adipic		-1070.85937		0.35521		0.28333		-1070.50416		-1070.57604		151.27		-1069.69627
dimer_m062x_h_butanoic		-615.21543		0.25763		0.19586		-614.95779		-615.01957		130.014		-614.53323
dimer_m062x_h_formic		-379.41493		0.07899		0.04014		-379.33594		-379.37479		81.767		-379.05621
dimer_m062x_h_glutaric		-992.27535		0.29457		0.22919		-991.98078		-992.04616		137.612		-991.21862
dimer_m062x_h_hexanoic		-772.3967		0.37763		0.302		-772.01907		-772.0947		159.168		-771.5013
dimer_m062x_h_malonic		-835.05189		0.17484		0.1131		-834.87705		-834.93879		129.948		-834.21267
dimer_m062x_h_oxalic		-756.42527		0.11483		0.05997		-756.31044		-756.3653		115.46		-755.69315
dimer_m062x_h_pentanoic		-693.80601		0.31755		0.24839		-693.48846		-693.55762		145.544		-693.01774
dimer_m062x_h_pimelic		-1149.45783		0.41468		0.33301		-1149.04315		-1149.12482		171.893		-1148.19102
dimer_m062x_h_propanoic		-536.62454		0.19765		0.14385		-536.42688		-536.48069		113.243		-536.0489
dimer_m062x_h_suberic		-1228.04687		0.47479		0.38723		-1227.57208		-1227.65964		184.292		-1226.67317
dimer_m062x_h_succinic		-913.66953		0.23537		0.17341		-913.43415		-913.49612		130.407		-912.72126
dimer_m062x_qh_acetic		-458.03214		0.13751		0.08918		-457.89463		-457.94296		101.716		-457.56373
dimer_m062x_qh_adipic		-1070.85937		0.35521		0.28333		-1070.50416		-1070.57604		151.27		-1069.69627
dimer_m062x_qh_butanoic		-615.21543		0.25763		0.19586		-614.95779		-615.01957		130.014		-614.53324
dimer_m062x_qh_formic		-379.41493		0.07899		0.04014		-379.33594		-379.37479		81.767		-379.05621
dimer_m062x_qh_glutaric		-992.27535		0.29457		0.22919		-991.98078		-992.04616		137.612		-991.21869
dimer_m062x_qh_hexanoic		-772.3975		0.37803		0.30328		-772.01948		-772.09422		157.305		-771.50194
dimer_m062x_qh_malonic		-835.05189		0.17484		0.1131		-834.87705		-834.93879		129.948		-834.21267
dimer_m062x_qh_oxalic		-756.42527		0.11483		0.05997		-756.31044		-756.3653		115.46		-755.69315
dimer_m062x_qh_pentanoic	-693.80601		0.31755		0.24839		-693.48846		-693.55762		145.544		-693.01776
