Cluster		E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1sa		-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1b		-699.619329	0.032986	-0.001528	-699.586343	-699.620857	72.639		-698.951587	
1dma		-135.134498	0.098641	0.067924	-135.035857	-135.066574	64.650		-134.937072	
1w		-76.409619	0.025505	0.004091	-76.384115	-76.405528	45.069		-76.342066	
1b_1dma_1w	-911.209607	0.162586	0.107269	-911.047021	-911.102338	116.425		-910.273619	
1b_1dma_2w	-987.647699	0.191402	0.131835	-987.456297	-987.515864	125.369		-986.639896	
1b_1dma_3w	-1064.083944	0.219983	0.156382	-1063.863961	-1063.927562	133.859		-1063.004364	
1b_1dma_4w	-1140.519381	0.249045	0.178971	-1140.270336	-1140.340410	147.483		-1139.369774	
1b_1dma_5w	-1216.943352	0.277094	0.197933	-1216.666258	-1216.745419	166.609		-1215.724867	
1sa_1b_1dma_1w	-1611.422836	0.212408	0.146426	-1611.210428	-1611.276410	138.870		-1609.816086	
1sa_1b_1dma_2w	-1687.852836	0.240863	0.166789	-1687.611974	-1687.686047	155.901		-1686.175667	
1sa_1b_1dma_3w	-1764.292682	0.270487	0.194935	-1764.022195	-1764.097747	159.013		-1762.544407	
1sa_1b_1dma_4w	-1840.725105	0.299198	0.218017	-1840.425907	-1840.507088	170.860		-1838.905911	
1sa_1b_1dma_5w	-1917.155689	0.328060	0.240474	-1916.827630	-1916.915215	184.339		-1915.266289	
1sa_1b_2dma_1w	-1746.577272	0.312940	0.232850	-1746.264332	-1746.344422	168.562		-1744.769079	
1sa_1b_2dma_2w	-1823.000719	0.342318	0.254281	-1822.658402	-1822.746438	185.289		-1821.123920	
1sa_1b_2dma_3w	-1899.450651	0.371319	0.282366	-1899.079332	-1899.168285	187.216		-1897.501562	
1sa_1b_2dma_4w	-1975.890185	0.401133	0.307068	-1975.489052	-1975.583117	197.976		-1973.869146	
1sa_1b_2dma_5w	-2052.334331	0.431386	0.334319	-2051.902945	-2052.000012	204.295		-2050.240667	
2sa_1b_1dma_1w	-2311.602235	0.259781	0.176182	-2311.342455	-2311.426053	175.947		-2309.330621	
2sa_1b_1dma_2w	-2388.043932	0.288587	0.203309	-2387.755345	-2387.840623	179.482		-2385.698216	
2sa_1b_1dma_3w	-2464.467037	0.316248	0.227650	-2464.150789	-2464.239387	186.470		-2462.049722	
2sa_1b_1dma_4w	-2540.901669	0.345885	0.251005	-2540.555785	-2540.650664	199.691		-2538.413298	
2sa_1b_1dma_5w	-2617.332209	0.373445	0.273047	-2616.958764	-2617.059162	211.305		-2614.771202	
2sa_1b_2dma_1w	-2446.787075	0.364025	0.272013	-2446.423051	-2446.515062	193.655		-2444.311502	
2sa_1b_2dma_2w	-2523.222442	0.392890	0.295476	-2522.829552	-2522.926966	205.025		-2520.677731	
2sa_1b_2dma_3w	-2599.650345	0.421481	0.319927	-2599.228864	-2599.330418	213.738		-2597.031629	
2sa_1b_2dma_4w	-2676.081962	0.450680	0.344869	-2675.631282	-2675.737093	222.697		-2673.394406	
2sa_1b_2dma_5w	-2752.517788	0.479895	0.367288	-2752.037893	-2752.150500	237.002		-2749.759398	
3sa_1b_1dma_1w	-3011.792991	0.307793	0.213004	-3011.485197	-3011.579987	199.501		-3008.850956	
3sa_1b_1dma_2w	-3088.212764	0.335716	0.236943	-3087.877048	-3087.975821	207.885		-3085.198311	
3sa_1b_1dma_3w	-3164.633189	0.363287	0.255995	-3164.269902	-3164.377194	225.815		-3161.549426	
3sa_1b_1dma_4w	-3241.083063	0.393274	0.285528	-3240.689789	-3240.797535	226.771		-3237.926510	
3sa_1b_1dma_5w	-3317.519689	0.421782	0.312250	-3317.097907	-3317.207439	230.530		-3314.288991	
3sa_1b_2dma_1w	-3146.971392	0.412076	0.306316	-3146.559316	-3146.665076	222.591		-3143.828848	
3sa_1b_2dma_2w	-3223.402476	0.439968	0.330588	-3222.962508	-3223.071888	230.210		-3220.187888	
4sa_1b_1dma_1w	-3711.959256	0.354845	0.247834	-3711.604411	-3711.711422	225.223		-3708.348845	
4sa_1b_1dma_2w	-3788.381910	0.382864	0.271122	-3787.999045	-3788.110788	235.182		-3784.702199	
4sa_1b_1dma_3w	-3864.814557	0.412940	0.295677	-3864.401617	-3864.518880	246.801		-3861.062892	
4sa_1b_1dma_4w	-3941.257402	0.440275	0.318056	-3940.817127	-3940.939346	257.231		-3937.434622	
4sa_1b_1dma_5w	-4017.695024	0.469669	0.342674	-4017.225355	-4017.352350	267.283		-4013.799512	

