Cluster		E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1sa		-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1dma		-135.134498	0.098641	0.067924	-135.035857	-135.066574	64.650		-134.937072	
1dma_pos	-135.506487	0.114571	0.083464	-135.391915	-135.423023	65.471		-135.305456	
1sa_1dma_H	-835.662912	0.162245	0.110524	-835.500667	-835.552388	108.857		-834.796606	
1sa_2dma_H	-970.870678	0.266159	0.201247	-970.604519	-970.669431	136.618		-969.801775	
1sa_3dma_H	-1106.053046	0.368792	0.292962	-1105.684254	-1105.760084	159.597		-1104.784381	
2dma_H		-270.684378	0.214464	0.169351	-270.469914	-270.515027	94.948		-270.281807	
2sa_1dma_H	-1535.827248	0.209975	0.143323	-1535.617273	-1535.683925	140.281		-1534.294059	
2sa_2dma_H	-1671.041415	0.312967	0.233366	-1670.728448	-1670.808049	167.535		-1669.306167	
2sa_3dma_H	-1806.244404	0.417619	0.324880	-1805.826785	-1805.919524	195.186		-1804.308528	
3dma_H		-405.851829	0.315969	0.255023	-405.535860	-405.596806	128.273		-405.249571	
3sa_3dma_H	-2506.410095	0.464852	0.360451	-2505.945243	-2506.049644	219.730		-2503.808703	
3sa_4dma_H	-2641.617254	0.569997	0.454990	-2641.047257	-2641.162264	242.053		-2638.813095	
4sa_3dma_H	-3206.583849	0.513652	0.400198	-3206.070197	-3206.183651	238.785		-3203.312953	
4sa_4dma_H	-3341.778028	0.615957	0.486426	-3341.162071	-3341.291602	272.622		-3338.305451	
4sa_5dma_H	-3476.979486	0.721019	0.576650	-3476.258467	-3476.402836	303.851		-3473.305423	

