Cluster	E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1ma	-95.837825	0.069140	0.041861	-95.768686	-95.795964	57.412		-95.705457	
1sa	-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1sa_1ma	-796.000154	0.118429	0.072625	-795.881725	-795.927529	96.403		-795.197688	
1sa_2ma	-891.864815	0.188441	0.132992	-891.676375	-891.731823	116.702		-890.927571	
1sa_3ma	-987.733110	0.262322	0.196620	-987.470788	-987.536490	138.283		-986.658750	
1sa_4ma	-1083.593952	0.334200	0.258567	-1083.259753	-1083.335385	159.182		-1082.385028	
2ma	-191.683475	0.140817	0.099491	-191.542659	-191.583984	86.977		-191.417302	
2sa_1ma	-1496.178616	0.166775	0.107431	-1496.011841	-1496.071185	124.900		-1494.709149	
2sa_2ma	-1592.064792	0.240796	0.174314	-1591.823995	-1591.890478	139.924		-1590.454826	
2sa_3ma	-1687.927636	0.312476	0.230949	-1687.615160	-1687.696687	171.587		-1686.183444	
2sa_4ma	-1783.794542	0.384121	0.293676	-1783.410421	-1783.500866	190.357		-1781.916596	
3ma	-287.537562	0.212486	0.159612	-287.325075	-287.377950	111.283		-287.135915	
3sa_1ma	-2196.345223	0.214672	0.141184	-2196.130551	-2196.204039	154.669		-2194.208579	
3sa_2ma	-2292.237143	0.288843	0.205543	-2291.948301	-2292.031600	175.319		-2289.963668	
3sa_3ma	-2388.128411	0.363273	0.272156	-2387.765139	-2387.856255	191.771		-2385.716335	
3sa_4ma	-2484.010983	0.435433	0.337570	-2483.575549	-2483.673413	205.971		-2481.458655	
4ma	-383.390337	0.283908	0.219755	-383.106430	-383.170582	135.021		-382.853153	
4sa_1ma	-2896.503243	0.263350	0.174791	-2896.239893	-2896.328452	186.389		-2893.699987	
4sa_2ma	-2992.405527	0.337301	0.240963	-2992.068226	-2992.164564	202.761		-2989.463376	
4sa_3ma	-3088.299841	0.410945	0.308211	-3087.888896	-3087.991630	216.222		-3085.221068	
4sa_4ma	-3184.194697	0.484447	0.370282	-3183.710249	-3183.824415	240.281		-3180.976695	

