Cluster			 			  H-corr:		   G-corr:		    H(wB97X-D)		     G(wB97X-D)		      S(wB97X-D)	       DLPNO-CCSD(T):
1dma			 			  0.098644		   0.067929		     -135.035854	      -135.066569	       64.647		        -134.937072288
1msa			 			  0.069331		   0.033221		     -664.163762	      -664.199872	       76.000		        -663.562933743
1msa_1dma		 			  0.171372		   0.122912		     -799.231003	      -799.279463	      101.992		        -798.532412165
1sa			 			  0.045614		   0.011180		     -700.080489	      -700.114924	       72.473		        -699.460420942
1sa_1msa		 			  0.117157		   0.067585		    -1364.279084	     -1364.328656	      104.332		       -1363.058967751
1sa_1msa_1dma		 			  0.220866		   0.159143		    -1499.365346	     -1499.427069	      129.907		       -1498.047882502
1sa_1msa_2dma		 			  0.325782		   0.252007		    -1634.441655	     -1634.515431	      155.274		       -1633.031226577
1sa_2msa		 			  0.188458		   0.120566		    -2028.467800	     -2028.535692	      142.890		       -2026.648899693
1sa_2msa_1dma		 			  0.293101		   0.214149		    -2163.565406	     -2163.644358	      166.169		       -2161.649716624
1sa_2msa_2dma		 			  0.396701		   0.303200		    -2298.647387	     -2298.740888	      196.789		       -2296.635334788
2msa			 			  0.141030		   0.089285		    -1328.358761	     -1328.410506	      108.907		       -1327.158393532
2msa_1dma		 			  0.244435		   0.179570		    -1463.440654	     -1463.505519	      136.520		       -1462.143546490
2msa_2dma		 			  0.348433		   0.270343		    -1598.518740	     -1598.596829	      164.354		       -1597.127110631
2sa_1msa		 			  0.164471		   0.098294		    -2064.382220	     -2064.448398	      139.282		       -2062.543899331
2sa_1msa_1dma		 			  0.268834		   0.192485		    -2199.489609	     -2199.565959	      160.690		       -2197.553541679
2sa_1msa_2dma		 			  0.373614		   0.284699		    -2334.567026	     -2334.655941	      187.137		       -2332.536121548
2sa_1msa_3dma		 			  0.476727		   0.373911		    -2469.652884	     -2469.755700	      216.394		       -2467.523652922
3msa			 			  0.212622		   0.143063		    -1992.542523	     -1992.612082	      146.400		       -1990.743092379
3msa_1dma		 			  0.316842		   0.236586		    -2127.638525	     -2127.718782	      168.914		       -2125.742942070
3msa_2dma		 			  0.420318		   0.325755		    -2262.717020	     -2262.811583	      199.025		       -2260.725592306
