Cluster	E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1sa_1a	-756.702712	0.086454	0.044667	-756.616258	-756.658045	87.948		-755.966437	
2sa_2a	-1513.460481	0.178499	0.116992	-1513.281982	-1513.343489	129.453		-1511.983413	
2sa_3a	-1570.037305	0.220173	0.153678	-1569.817132	-1569.883627	139.951		-1568.489834	
3sa_1a	-2157.037221	0.182498	0.111125	-2156.854723	-2156.926096	150.217		-2154.965927	
3sa_2a	-2213.631942	0.226392	0.149758	-2213.405550	-2213.482184	161.289		-2211.488690	
3sa_3a	-2270.223123	0.269877	0.189116	-2269.953246	-2270.034007	169.976		-2268.009283	
4sa_2a	-2913.801255	0.275409	0.188403	-2913.525846	-2913.612852	183.120		-2910.989852	
4sa_3a	-2970.393346	0.316675	0.224527	-2970.076671	-2970.168819	193.941		-2967.510369	
4sa_4a	-3026.989460	0.359560	0.260664	-3026.629900	-3026.728796	208.143		-3024.031990	
4sa_5a	-3083.565140	0.402470	0.301775	-3083.162669	-3083.263365	211.932		-3080.537544	
5sa_3a	-3670.566269	0.365416	0.257098	-3670.200853	-3670.309171	227.974		-3667.015472	
5sa_4a	-3727.152180	0.409292	0.294422	-3726.742889	-3726.857758	241.763		-3723.529926	
5sa_5a	-3783.752381	0.451104	0.330864	-3783.301277	-3783.421517	253.066		-3780.057073	

