Cluster		E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1sa		-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1moa		-417.549186	0.086503	0.047141	-417.462683	-417.502045	82.846		-417.093360	
1a		-56.546500	0.038600	0.015715	-56.507900	-56.530785	48.164		-56.480252	
1moa_1a		-474.121385	0.127606	0.080271	-473.993779	-474.041114	99.626		-473.594926	
1sa_1a_1moa	-1174.288489	0.175413	0.115907	-1174.113076	-1174.172582	125.242		-1173.093049	
1sa_1a_2moa	-1591.878585	0.266000	0.188675	-1591.612584	-1591.689910	162.746		-1590.225594	
1sa_1moa	-1117.705295	0.134057	0.076795	-1117.571238	-1117.628500	120.519		-1116.582157	
1sa_2a_1moa	-1230.860509	0.216858	0.148975	-1230.643651	-1230.711534	142.872		-1229.594369	
1sa_2a_2moa	-1648.455000	0.305359	0.223508	-1648.149641	-1648.231492	172.270		-1646.730219	
1sa_2moa	-1535.290396	0.222839	0.151063	-1535.067558	-1535.139333	151.065		-1533.709891	
1sa_3a_2moa	-1705.022114	0.347086	0.258024	-1704.675027	-1704.764090	187.447		-1703.228150	
2moa		-835.126257	0.175300	0.112284	-834.950957	-835.013973	132.629		-834.212913	
2moa_1a		-891.696324	0.216448	0.146817	-891.479876	-891.549507	146.550		-890.712777	
2moa_2a		-948.272816	0.255669	0.184362	-948.017147	-948.088454	150.078		-947.218718	
2sa_1a_1moa	-1874.460631	0.224104	0.147615	-1874.236528	-1874.313016	160.983		-1872.597285	
2sa_1moa	-1817.860684	0.181487	0.107639	-1817.679196	-1817.753045	155.427		-1816.071202	
2sa_2a_1moa	-1931.044520	0.267525	0.189113	-1930.776995	-1930.855407	165.032		-1929.111141	
2sa_3a_1moa	-1987.623658	0.308886	0.226965	-1987.314771	-1987.396693	172.418		-1985.618804	
3moa		-1252.704010	0.263843	0.180947	-1252.440167	-1252.523063	174.469		-1251.332036	
3moa_1a		-1309.280751	0.305506	0.222467	-1308.975244	-1309.058284	174.771		-1307.840223	
3moa_2a		-1365.853629	0.345975	0.253965	-1365.507654	-1365.599664	193.651		-1364.341862	
3moa_3a		-1422.419215	0.385837	0.286840	-1422.033379	-1422.132375	208.356		-1420.837478	

