Cluster		E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1sa		-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1b		-699.619329	0.032986	-0.001528	-699.586343	-699.620857	72.639		-698.951587	
1a		-56.546500	0.038600	0.015715	-56.507900	-56.530785	48.164		-56.480252	
1b_1a		-756.183417	0.074490	0.033945	-756.108927	-756.149472	85.334		-755.448072	
1b_2a		-812.743792	0.115449	0.063857	-812.628343	-812.679935	108.584		-811.941198	
1sa_1b_1a	-1456.391035	0.122754	0.070128	-1456.268280	-1456.320907	110.762		-1454.984329	
1sa_1b_2a	-1512.956461	0.164282	0.105145	-1512.792179	-1512.851316	124.464		-1511.480123	
2sa_1b_1a	-2156.577532	0.170513	0.104122	-2156.407019	-2156.473410	139.731		-2154.503971	
2sa_1b_2a	-2213.156965	0.213930	0.138212	-2212.943034	-2213.018753	159.363		-2211.010510	
3sa_1b_1a	-2856.749381	0.218669	0.133837	-2856.530712	-2856.615544	178.544		-2854.009651	
3sa_1b_2a	-2913.341222	0.260745	0.174327	-2913.080477	-2913.166895	181.881		-2910.528605	
3sa_1b_3a	-2969.928482	0.305885	0.213716	-2969.622596	-2969.714766	193.987		-2967.043255	
4sa_1b_1a	-3556.921375	0.266286	0.170231	-3556.655089	-3556.751144	202.165		-3553.513748	
4sa_1b_2a	-3613.512567	0.308081	0.206565	-3613.204485	-3613.306002	213.660		-3610.032271	
4sa_1b_3a	-3670.112332	0.352451	0.246947	-3669.759881	-3669.865385	222.052		-3666.559549	
4sa_1b_4a	-3726.680233	0.392948	0.281965	-3726.287285	-3726.398268	233.583		-3723.054538	
5sa_1b_1a	-4257.091777	0.314063	0.205323	-4256.777715	-4256.886454	228.862		-4253.015682	
6sa_1b_1a	-4957.242648	0.359765	0.234323	-4956.882883	-4957.008325	264.016		-4952.498978	

