Cluster		E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1sa		-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1b		-699.619329	0.032986	-0.001528	-699.586343	-699.620857	72.639		-698.951587	
1a		-56.546500	0.038600	0.015715	-56.507900	-56.530785	48.164		-56.480252	
1w		-76.409619	0.025505	0.004091	-76.384115	-76.405528	45.069		-76.342066	
1b_1a_1w	-832.620946	0.103258	0.057653	-832.517688	-832.563293	95.983		-831.814378	
1b_1a_2w	-909.054565	0.131523	0.077241	-908.923042	-908.977324	114.246		-908.178009	
1b_1a_3w	-985.492578	0.160225	0.103471	-985.332354	-985.389107	119.448		-984.543476	
1b_1a_4w	-1061.919841	0.189132	0.123511	-1061.730708	-1061.796330	138.112		-1060.903137	
1b_1a_5w	-1138.349231	0.217860	0.147238	-1138.131371	-1138.201993	148.636		-1137.260888	
1sa_1b_1a_1w	-1532.820839	0.151120	0.090582	-1532.669718	-1532.730257	127.413		-1531.344677	
1sa_1b_1a_2w	-1609.258252	0.180388	0.116095	-1609.077864	-1609.142157	135.317		-1607.709593	
1sa_1b_1a_3w	-1685.688422	0.209698	0.136796	-1685.478724	-1685.551626	153.435		-1684.069570	
1sa_1b_1a_4w	-1762.131028	0.238096	0.163564	-1761.892932	-1761.967464	156.866		-1760.439106	
1sa_1b_1a_5w	-1838.559345	0.266506	0.186091	-1838.292840	-1838.373254	169.247		-1836.797705	
1sa_1b_2a_1w	-1589.380405	0.192863	0.123616	-1589.187542	-1589.256789	145.743		-1587.834547	
1sa_1b_2a_2w	-1665.809719	0.221290	0.144701	-1665.588428	-1665.665018	161.196		-1664.194478	
1sa_1b_2a_3w	-1742.260373	0.250055	0.173975	-1742.010319	-1742.086398	160.123		-1740.568256	
1sa_1b_2a_4w	-1818.679596	0.279552	0.195668	-1818.400044	-1818.483928	176.550		-1816.921894	
1sa_1b_2a_5w	-1895.129971	0.309158	0.222679	-1894.820813	-1894.907292	182.011		-1893.295987	
2sa_1b_1a_1w	-2233.017178	0.200145	0.128129	-2232.817034	-2232.889049	151.569		-2230.871354	
2sa_1b_1a_2w	-2309.449545	0.228677	0.150360	-2309.220868	-2309.299185	164.833		-2307.233089	
2sa_1b_1a_3w	-2385.881038	0.257179	0.173029	-2385.623860	-2385.708009	177.108		-2383.591950	
2sa_1b_1a_4w	-2462.304890	0.284371	0.194745	-2462.020518	-2462.110145	188.634		-2459.945288	
2sa_1b_1a_5w	-2538.742842	0.312613	0.219362	-2538.430230	-2538.523480	196.262		-2536.311671	
2sa_1b_2a_1w	-2289.589954	0.242066	0.167162	-2289.347888	-2289.422792	157.650		-2287.370873	
2sa_1b_2a_2w	-2366.020650	0.271420	0.184385	-2365.749230	-2365.836265	183.181		-2363.735117	
2sa_1b_2a_3w	-2442.458044	0.300003	0.209274	-2442.158041	-2442.248770	190.955		-2440.098545	
2sa_1b_2a_4w	-2518.891124	0.328371	0.235726	-2518.562753	-2518.655398	194.988		-2516.460210	
2sa_1b_2a_5w	-2595.326052	0.357531	0.257054	-2594.968521	-2595.068998	211.473		-2592.827694	
3sa_1b_1a_1w	-2933.191305	0.246305	0.157435	-2932.945000	-2933.033870	187.042		-2930.377715	
3sa_1b_1a_2w	-3009.625722	0.275181	0.183246	-3009.350541	-3009.442476	193.494		-3006.740526	
3sa_1b_1a_3w	-3086.051751	0.304066	0.207486	-3085.747685	-3085.844265	203.270		-3083.095816	
3sa_1b_2a_1w	-2989.773528	0.289834	0.197637	-2989.483694	-2989.575891	194.044		-2986.887321	
3sa_1b_2a_2w	-3066.203354	0.317551	0.219162	-3065.885802	-3065.984192	207.078		-3063.245578	

