Cluster		E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1sa		-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1a		-56.546500	0.038600	0.015715	-56.507900	-56.530785	48.164		-56.480252	
1goa		-302.991293	0.049667	0.015665	-302.941626	-302.975628	71.564		-302.668644	
1w		-76.409619	0.025505	0.004091	-76.384115	-76.405528	45.069		-76.342066	
1goa_1a		-359.562248	0.090750	0.048180	-359.471497	-359.514068	89.598		-359.169024	
1goa_1a_1w	-435.990665	0.118320	0.069220	-435.872344	-435.921445	103.341		-435.526572	
1goa_1w		-379.420423	0.077909	0.037159	-379.342514	-379.383264	85.766		-379.027367	
1goa_2a		-416.125250	0.131417	0.082203	-415.993832	-416.043047	103.581		-415.662296	
1goa_2a_1w	-492.554822	0.160164	0.105501	-492.394658	-492.449321	115.048		-492.018658	
1goa_2w		-455.852034	0.106037	0.058729	-455.745997	-455.793305	99.569		-455.387557	
1sa_1a_1goa	-1059.723762	0.137917	0.080088	-1059.585845	-1059.643674	121.711		-1058.663021	
1sa_1a_1goa_1w	-1136.159419	0.167451	0.102140	-1135.991968	-1136.057279	137.458		-1135.026389	
1sa_1a_1goa_3w	-1289.029290	0.224690	0.153574	-1288.804601	-1288.875716	149.675		-1287.755095	
1sa_1a_1goa_4w	-1365.461860	0.253774	0.178347	-1365.208085	-1365.283513	158.751		-1364.116210	
1sa_1goa	-1003.146149	0.097164	0.046126	-1003.048986	-1003.100023	107.418		-1002.156017	
1sa_1goa_1w	-1079.578640	0.125607	0.068086	-1079.453033	-1079.510554	121.064		-1078.518410	
1sa_1goa_2w	-1156.011618	0.153451	0.089882	-1155.858167	-1155.921736	133.792		-1154.879934	
1sa_1goa_3w	-1232.440203	0.181522	0.110300	-1232.258680	-1232.329903	149.900		-1231.237781	
2sa_1goa	-1703.304019	0.144930	0.080211	-1703.159089	-1703.223808	136.213		-1701.646790	
2sa_1goa_1w	-1779.736890	0.172869	0.099942	-1779.564022	-1779.636948	153.487		-1778.008767	
2sa_1goa_2w	-1856.168041	0.200417	0.121999	-1855.967625	-1856.046042	165.043		-1854.368312	
2sa_1goa_3w	-1932.605068	0.229139	0.148325	-1932.375930	-1932.456743	170.087		-1930.733408	
2sa_1goa_4w	-2009.042665	0.257896	0.175269	-2008.784770	-2008.867396	173.902		-2007.097029	
2sa_1goa_5w	-2085.479796	0.285922	0.195780	-2085.193874	-2085.284016	189.721		-2083.463318	
2sa_1goa_6w	-2161.912554	0.314607	0.219362	-2161.597947	-2161.693192	200.460		-2159.824022	
2sa_1goa_7w	-2238.346090	0.342911	0.242428	-2238.003179	-2238.103662	211.484		-2236.185968	

