Cluster		E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1sa		-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1tma		-174.434497	0.127698	0.094051	-174.306799	-174.340446	70.815		-174.173356	
1w		-76.409619	0.025505	0.004091	-76.384115	-76.405528	45.069		-76.342066	
1tma_1w		-250.859145	0.155238	0.114320	-250.703906	-250.744825	86.120		-250.528059	
1sa_1tma_1w	-951.034601	0.206137	0.147710	-950.828464	-950.886891	122.970		-950.035162	
1sa_1tma_2w	-1027.467061	0.234788	0.171455	-1027.232274	-1027.295606	133.295		-1026.396236	
1sa_1tma_3w	-1103.902925	0.264276	0.199824	-1103.638649	-1103.703101	135.651		-1102.759912	
1sa_2tma_1w	-1125.498146	0.336484	0.263118	-1125.161662	-1125.235028	154.412		-1124.234650	
1sa_2tma_2w	-1201.927218	0.365093	0.285539	-1201.562126	-1201.641679	167.434		-1200.593785	
2sa_1tma_1w	-1651.209524	0.254451	0.183409	-1650.955074	-1651.026115	149.519		-1649.541538	
2sa_1tma_2w	-1727.645454	0.282852	0.209273	-1727.362602	-1727.436181	154.860		-1725.904272	
2sa_1tma_3w	-1804.074847	0.311419	0.231674	-1803.763428	-1803.843173	167.837		-1802.263605	
2sa_2tma_1w	-1825.688440	0.389258	0.306371	-1825.299182	-1825.382069	174.449		-1823.759440	
2sa_2tma_2w	-1902.115876	0.416111	0.321990	-1901.699764	-1901.793886	198.095		-1900.115346	
2sa_2tma_3w	-1978.551662	0.447371	0.353434	-1978.104290	-1978.198228	197.708		-1976.478829	

